Alouette 1 Reception Facility,ISIS Reception Facility
"Resolute Bay, NT, Canada","Resolute Bay, Canada"
"Blossom Point, MD, USA","Blossom Point, Maryland"
Falkland Islands (Islas Malvinas),"Falkland Island, UK"
"St. John's, Newfoundland","St Johns, Newfoundland"
"Orroral Valley, Australia","Orroral, Australia"
"Prince Albert, SK, Canada","Prince Albert, Canada"
"Ottawa, Canada","Ottawa, Canada"
"Byrd Station, Antarctica","Byrd Station, Antartica"
"Las Palmas, Canary Islands, Spain","Las Palmas, Canary Islands, Spain"
"Winkfield, England, UK","Winkfield, UK"
"Fort Myers, FL, USA","Fort Myers, Florida"
"East Grant Forks, MN, USA","East Grand Forks, Minnesota"
"Rosman, NC, USA","Rosman, North Carolina"
"College, Fairbanks, AK, USA","College, Alaska"
"University of Alaska, Fairbanks, AK, USA","Fairbanks, Alaska"
"Woomera, Australia","Woomera, Australia"
"Tromso, Norway","Tromso, Norway"
"Darwin, Australia","Darwin, Australia"
"Quito, Ecuador","Quito, Ecuador"
"South Point, HI, USA","South Point, Hawaiian Island "
"Lima, Peru","Lima, Peru"
"Johannesburg, South Africa","Johannesburg, South Africa"
"Kano, Nigeria","Kano, Nigeria"
"Bretigny, France","Bretigny, France"
Singapore,"Singapore, Malaysia"
"Boulder, CO, USA","Boulder, Colorado"
"Kauai, HI, USA","Kauai, Hawaii"
"Kashima, Japan","Kashima, Japan"
